192.168.1.3 - - [08/Apr/2016:01:05:05 +0530] "GET / HTTP/1.1" 200 11217
192.168.1.3 - - [08/Apr/2016:01:05:08 +0530] "GET /manager/html HTTP/1.1" 401 2474
192.168.1.3 - TomcatAdmin [08/Apr/2016:01:05:27 +0530] "GET /manager/html HTTP/1.1" 200 17554
192.168.1.3 - - [08/Apr/2016:01:05:33 +0530] "GET /CRM/ HTTP/1.1" 200 14657
192.168.1.3 - - [08/Apr/2016:01:05:34 +0530] "GET /CRM/Home_files/liner.htm HTTP/1.1" 200 1635
192.168.1.3 - - [08/Apr/2016:01:05:59 +0530] "GET /CRM/ HTTP/1.1" 200 14657
192.168.1.3 - - [08/Apr/2016:01:05:59 +0530] "GET /CRM/Home_files/liner.htm HTTP/1.1" 200 1635
192.168.1.3 - - [08/Apr/2016:01:06:02 +0530] "GET /CRM/RegeionFood.jsp HTTP/1.1" 200 17447
192.168.1.3 - - [08/Apr/2016:01:06:02 +0530] "GET /CRM/Scripts/AC_RunActiveContent.js HTTP/1.1" 404 1019
192.168.1.3 - - [08/Apr/2016:01:06:02 +0530] "GET /CRM/Home_files/liner.htm HTTP/1.1" 200 1635
192.168.1.3 - - [08/Apr/2016:01:06:02 +0530] "GET /CRM/navigation/aboutus2.gif HTTP/1.1" 404 1005
192.168.1.3 - - [08/Apr/2016:01:06:02 +0530] "GET /CRM/navigation/message2.gif HTTP/1.1" 404 1005
192.168.1.3 - - [08/Apr/2016:01:06:02 +0530] "GET /CRM/navigation/howto2.gif HTTP/1.1" 404 1001
192.168.1.3 - - [08/Apr/2016:01:06:02 +0530] "GET /CRM/navigation/tech2.gif HTTP/1.1" 404 999
192.168.1.3 - - [08/Apr/2016:01:06:02 +0530] "GET /CRM/navigation/pro2.gif HTTP/1.1" 404 997
192.168.1.3 - - [08/Apr/2016:01:06:02 +0530] "GET /CRM/navigation/charter2.gif HTTP/1.1" 404 1005
192.168.1.3 - - [08/Apr/2016:01:06:02 +0530] "GET /CRM/navigation/fly2.gif HTTP/1.1" 404 997
192.168.1.3 - - [08/Apr/2016:01:06:08 +0530] "POST /CRM/UserFoodDetails.jsp HTTP/1.1" 200 16742
192.168.1.3 - - [08/Apr/2016:01:06:08 +0530] "GET /CRM/Scripts/AC_RunActiveContent.js HTTP/1.1" 404 1019
192.168.1.3 - - [08/Apr/2016:01:06:08 +0530] "GET /CRM/Scripts/AC_RunActiveContent.js HTTP/1.1" 404 1019
192.168.1.3 - - [08/Apr/2016:01:06:08 +0530] "GET /CRM/Home_files/liner.htm HTTP/1.1" 200 1635
192.168.1.3 - - [08/Apr/2016:01:06:08 +0530] "GET /CRM/navigation/aboutus2.gif HTTP/1.1" 404 1005
192.168.1.3 - - [08/Apr/2016:01:06:08 +0530] "GET /CRM/navigation/pro2.gif HTTP/1.1" 404 997
192.168.1.3 - - [08/Apr/2016:01:06:08 +0530] "GET /CRM/navigation/fly2.gif HTTP/1.1" 404 997
192.168.1.3 - - [08/Apr/2016:01:06:08 +0530] "GET /CRM/navigation/howto2.gif HTTP/1.1" 404 1001
192.168.1.3 - - [08/Apr/2016:01:06:08 +0530] "GET /CRM/navigation/charter2.gif HTTP/1.1" 404 1005
192.168.1.3 - - [08/Apr/2016:01:06:08 +0530] "GET /CRM/navigation/message2.gif HTTP/1.1" 404 1005
192.168.1.3 - - [08/Apr/2016:01:06:08 +0530] "GET /CRM/navigation/tech2.gif HTTP/1.1" 404 999
